URL,Tactic,Technique_ID,Technique,Procedure_ID,Procedure_Name,Description
,,,,S0603,Stuxnet,Stuxnet attempts to contact command and control servers on port 80 to send basic information about the computer it has compromised. [2]
,,,,S1009,Triton,"Triton uses TriStations default UDP port, 1502, to communicate with devices. [3]"
https://attack.mitre.org//techniques/T0884,['Command and Control'],T0884,Connection Proxy,,,
,,,,C0028,2015 Ukraine Electric Power Attack,"During the 2015 Ukraine Electric Power Attack, Sandworm Team established an internal proxy prior to the installation of backdoors within the network. [2]"
,,,,S1045,INCONTROLLER,The INCONTROLLER PLCProxy module can add an IP route to the CODESYS gateway running on Schneider PLCs to allow it to route messages through the PLC to other devices on that network. This allows the malware to bypass firewall rules that prevent it from directly communicating with devices on the same network as the PLC.[3]
,,,,S0604,Industroyer,"Industroyer attempts to connect with a hardcoded internal proxy on TCP 3128 [default Squid proxy]. If established, the backdoor attempts to reach an external C2 server via the internal proxy. [4]"
,,,,G0034,Sandworm Team,Sandworm Team establishes an internal proxy prior to the installation of backdoors within the network. [4]
https://attack.mitre.org//techniques/T0879,['Impact'],T0879,Damage to Property,,,
,,,,C0020,Maroochy Water Breach,"In the Maroochy Water Breach, the adversary gained remote computer access to the control system and altered data so that whatever function should have occurred at affected pumping stations did not occur or occurred in a different way. This ultimately led to 800,000 liters of raw sewage being spilled out into the community. The raw sewage affected local parks, rivers, and even a local hotel. This resulted in harm to marine life and produced a sickening stench from the community's affected rivers.[5]"
https://attack.mitre.org//techniques/T0880,['Impact'],T0880,Loss of Safety,,,
,,,,S1009,Triton,Triton has the capability to reprogram the SIS logic to allow unsafe conditions to persist or reprogram the SIS to allow an unsafe state  while using the DCS to create an unsafe state or hazard. [1]
https://attack.mitre.org//techniques/T0827,['Impact'],T0827,Loss of Control,,,
,,,,C0028,2015 Ukraine Electric Power Attack,"During the 2015 Ukraine Electric Power Attack, operators were shut out of their equipment either through the denial of peripheral use or the degradation of equipment. Operators were therefore unable to recover from the incident through their traditional means. Much of the power was restored manually. [5]"
,,,,S0604,Industroyer,"Industroyer's data wiper component removes the registry image path throughout the system and overwrites all files, rendering the system unusable. [6]"
,,,,S0372,LockerGoga,Some of Norsk Hydro's production systems were impacted by a LockerGoga infection. This resulted in a loss of control which forced the company to switch to manual operations. [7] [8]
https://attack.mitre.org//techniques/T0828,['Impact'],T0828,Loss of Productivity and Revenue,,,
,,,,C0028,2015 Ukraine Electric Power Attack,"During the 2015 Ukraine Electric Power Attack, power breakers were opened which caused the operating companies to be unable to deliver power, and left thousands of businesses and households without power for around 6 hours. [4][5]"
,,,,S0606,Bad Rabbit,"Several transportation organizations in Ukraine have suffered from being infected by Bad Rabbit, resulting in some computers becoming encrypted, according to media reports. [6]"
,,,,S0608,Conficker,"A Conficker infection at a nuclear power plant forced the facility to shutdown and go through security procedures involved with such events, with its staff scanning computer systems and going through all the regular checks and motions before putting the plant back into production. [7]"
,,,,S0605,EKANS,EKANS infection resulted in a temporary production loss within a Honda manufacturing plant. [8]
,,,,S0372,LockerGoga,"While Norsk Hydro attempted to recover from a LockerGoga infection, most of its 160 manufacturing locations switched to manual (non-IT driven) operations. Manual operations can result in a loss of productivity. [9][10]"
,,,,S0368,NotPetya,"NotPetya disrupted manufacturing facilities supplying vaccines, resulting in a halt of production and the inability to meet demand for specific vaccines. [11]"
,,,,S0496,REvil,The REvil malware gained access to an organizations network and encrypted sensitive files used by OT equipment. [12]
,,,,S0446,Ryuk,An enterprise resource planning (ERP) manufacturing server was lost to the Ryuk attack. The manufacturing process had to rely on paper and existing orders to keep the shop floor open. [13]
https://attack.mitre.org//techniques/T0809,['Inhibit Response Function'],T0809,Data Destruction,,,
,,,,S1045,INCONTROLLER,INCONTROLLER can wipe the memory of Omron PLCs and reset settings through the remote HTTP service.[2][3][4]
,,,,S0604,Industroyer,Industroyer has a destructive wiper that overwrites all ICS configuration files across the hard drives and all mapped network drives specifically targeting ABB PCM600 configuration files. [5]
,,,,S0607,KillDisk,KillDisk is able to delete system files to make the system unbootable and targets 35 different types of files for deletion. [6]
https://attack.mitre.org//techniques/T0811,['Collection'],T0811,Data from Information Repositories,,,
,,,,S0038,Duqu,"Duqu downloads additional modules for the collection of data in information repositories, including the Infostealer 2 module that can access data from Windows Shares.[3]"
https://attack.mitre.org//techniques/T0893,['Collection'],T0893,Data from Local System,,,
,,,,S1000,ACAD/Medre.A,ACAD/Medre.A collects information related to the AutoCAD application. The worm collects AutoCAD (*.dwg) files with drawings from infected systems. [1]
,,,,S0038,Duqu,"Duqu downloads additional modules for the collection of data from local systems. The modules are named: infostealer 1, infostealer 2 and reconnaissance. [2]"
,,,,S0143,Flame,Flame has built-in modules to gather information from compromised computers. [3]
https://attack.mitre.org//techniques/T0812,['Lateral Movement'],T0812,Default Credentials,,,
https://attack.mitre.org//techniques/T0813,['Impact'],T0813,Denial of Control,,,
,,,,C0028,2015 Ukraine Electric Power Attack,"During the 2015 Ukraine Electric Power Attack, KillDisk rendered devices that were necessary for remote recovery unusable, including at least one RTU. Additionally, Sandworm Team overwrote the firmware for serial-to-ethernet converters, denying operators control of the downstream devices. [5][6]"
,,,,S0604,Industroyer,Industroyer is able to block serial COM channels temporarily causing a denial of control. [7]
,,,,C0020,Maroochy Water Breach,"In the Maroochy Water Breach, the adversary temporarily shut an investigator out of the network preventing them from issuing any controls.[8]"
https://attack.mitre.org//techniques/T0814,['Inhibit Response Function'],T0814,Denial of Service,,,
,,,,C0028,2015 Ukraine Electric Power Attack,"During the 2015 Ukraine Electric Power Attack, power company phone line operators were hit with a denial of service attack so that they couldn’t field customers’ calls about outages. Operators were also denied service to their downstream devices when their serial-to-ethernet converters had their firmware overwritten, which bricked the devices. [5]"
,,,,S0093,Backdoor.Oldrea,The Backdoor.Oldrea payload has caused multiple common OPC platforms to intermittently crash. This could cause a denial of service effect on applications reliant on OPC communications. [2]
,,,,S0604,Industroyer,"The Industroyer SIPROTEC DoS module exploits the CVE-2015-5374 vulnerability in order to render a Siemens SIPROTEC device unresponsive. Once this vulnerability is successfully exploited, the target device stops responding to any commands until it is rebooted manually. [6] Once the tool is executed it sends specifically crafted packets to port 50,000 of the target IP addresses using UDP. The UDP packet contains the following 18 byte payload: 0x11 49 00 00 00 00 00 00 00 00 00 00 00 00 00 00 28 9E. [6]"
,,,,S1006,PLC-Blaster,The execution on the PLC can be stopped by violating the cycle time limit. The PLC-Blaster implements an endless loop triggering an error condition within the PLC with the impact of a DoS. [7]
https://attack.mitre.org//techniques/T0815,['Impact'],T0815,Denial of View,,,
,,,,S0604,Industroyer,Industroyer is able to block serial COM channels temporarily causing a denial of view. [4]
,,,,C0020,Maroochy Water Breach,"In the Maroochy Water Breach, the adversary temporarily shut an investigator out of the network, preventing them from viewing the state of the system.[5]"
https://attack.mitre.org//techniques/T0868,['Collection'],T0868,Detect Operating Mode,,,
,,,,S1009,Triton,Triton contains a file named TS_cnames.py which contains default definitions for program state (TS_progstate). Program state is referenced in TsHi.py.[5]Triton contains a file named TS_cnames.py which contains default definitions for key state (TS_keystate). Key state is referenced in TsHi.py.[5]
https://attack.mitre.org//techniques/T0816,['Inhibit Response Function'],T0816,Device Restart/Shutdown,,,
,,,,C0028,2015 Ukraine Electric Power Attack,"During the 2015 Ukraine Electric Power Attack, Sandworm Team scheduled the uninterruptable power supplies (UPS) to shutdown data and telephone servers via the UPS management interface. [1][2]"
,,,,S0604,Industroyer,"The Industroyer SIPROTEC DoS module exploits the CVE-2015-5374 vulnerability in order to render a Siemens SIPROTEC device unresponsive. While the vulnerability does not directly cause the restart or shutdown of the device, the device must be restarted manually before it can resume operations. [3]"
https://attack.mitre.org//techniques/T0817,['Initial Access'],T0817,Drive-by Compromise,,,
,,,,G1000,ALLANITE,ALLANITE leverages watering hole attacks to gain access into electric utilities. [2]
,,,,S0606,Bad Rabbit,"Bad Rabbit ransomware spreads through drive-by attacks where insecure websites are compromised. While the target is visiting a legitimate website, a malware dropper is being downloaded from the threat actors infrastructure. [3]"
,,,,G0035,Dragonfly,Dragonfly utilized watering hole attacks on energy sector websites by injecting a redirect iframe to deliver Backdoor.Oldrea or Trojan.Karagany. [4]
,,,,G0049,OilRig,OilRig has been seen utilizing watering hole attacks to collect credentials which could be used to gain access into ICS networks. [2]
,,,,G0088,TEMP.Veles,TEMP.Veles utilizes watering hole websites to target industrial employees. [5]
https://attack.mitre.org//techniques/T0871,['Execution'],T0871,Execution through API,,,
,,,,S1009,Triton,"Triton leverages a reconstructed TriStation protocol within its framework to trigger APIs related to program download, program allocation, and program changes. [1]"
https://attack.mitre.org//techniques/T0819,['Initial Access'],T0819,Exploit Public-Facing Application,,,
,,,,G0034,Sandworm Team,Sandworm Team actors exploited vulnerabilities in GE's Cimplicity HMI and Advantech/Broadwin WebAccess HMI software which had been directly exposed to the internet. [1] [2]
https://attack.mitre.org//techniques/T0820,['Evasion'],T0820,Exploitation for Evasion,,,
,,,,S1009,Triton,"Triton disables a firmware RAM/ROM consistency check after injects a payload (imain.bin) into the firmware memory region. [1] [2] [3] Triconex systems include continuous means of detection including checksums for firmware and program integrity, memory and memory reference integrity, and configuration. [4]"
https://attack.mitre.org//techniques/T0890,['Privilege Escalation'],T0890,Exploitation for Privilege Escalation,,,
,,,,S1045,INCONTROLLER,INCONTROLLER has the ability to exploit a vulnerable Asrock driver (AsrDrv103.sys) using CVE-2020-15368 to load its own unsigned driver on the system.[2]
,,,,S1009,Triton,"Triton leverages a previously-unknown vulnerability affecting Tricon MP3008 firmware versions 10.010.4 allows an insecurely-written system call to be exploited to achieve an arbitrary 2-byte write primitive, which is then used to gain supervisor privileges. [3]"
https://attack.mitre.org//techniques/T0866,"['Initial Access', 'Lateral Movement']",T0866,Exploitation of Remote Services,,,
,,,,S0606,Bad Rabbit,"Bad Rabbit initially infected IT networks, but by means of an exploit (particularly the SMBv1-targeting MS17-010 vulnerability) spread to industrial networks. [2]"
,,,,S0368,NotPetya,"NotPetya initially infected IT networks, but by means of an exploit (particularly the SMBv1-targeting MS17-010 vulnerability) spread to industrial networks. [2]"
,,,,S0603,Stuxnet,"Stuxnet executes malicious SQL commands in the WinCC database server to propagate to remote systems. The malicious SQL commands include xp_cmdshell, sp_dumpdbilog, and sp_addextendedproc. [3]"
,,,,S0366,WannaCry,"WannaCry initially infected IT networks, but by means of an exploit (particularly the SMBv1-targeting MS17-010 vulnerability) spread to industrial networks. [2]"
https://attack.mitre.org//techniques/T0822,['Initial Access'],T0822,External Remote Services,,,
,,,,C0028,2015 Ukraine Electric Power Attack,"During the 2015 Ukraine Electric Power Attack, Sandworm Team used Valid Accounts taken from the Windows Domain Controller to access the control system Virtual Private Network (VPN) used by grid operators. [3]"
,,,,C0020,Maroochy Water Breach,"In the Maroochy Water Breach, the adversary gained remote computer access to the system over radio.[4]"
https://attack.mitre.org//techniques/T0823,['Execution'],T0823,Graphical User Interface,,,
,,,,C0028,2015 Ukraine Electric Power Attack,"During the 2015 Ukraine Electric Power Attack, Sandworm Team utilized HMI GUIs in the SCADA environment to open breakers. [1]"
https://attack.mitre.org//techniques/T0891,"['Lateral Movement', 'Persistence']",T0891,Hardcoded Credentials,,,
,,,,S1045,INCONTROLLER,"INCONTROLLER can login to Omron PLCs using hardcoded credentials, which is documented in CVE-2022-34151.[1]"
,,,,S0603,Stuxnet,Stuxnet uses a hardcoded password in the WinCC software's database server as one of the mechanisms used to propagate to nearby systems. [2]
https://attack.mitre.org//techniques/T0874,"['Execution', 'Privilege Escalation']",T0874,Hooking,,,
,,,,S0603,Stuxnet,Stuxnet modifies the Import Address Tables DLLs to hook specific APIs that are used to open project files. [2]
,,,,S1009,Triton,"Triton's injector, inject.bin, changes the function pointer of the 'get main processor diagnostic data' TriStation command to the address of imain.bin so that it is executed prior to the normal handler. [3]"
https://attack.mitre.org//techniques/T0877,['Collection'],T0877,I/O Image,,,
,,,,S0603,Stuxnet,"Stuxnet copies the input area of an I/O image into data blocks with a one second interval between copies, forming a 21 second recording of the input area. The input area contains information being passed to the PLC from a peripheral. For example, the current state of a valve or the temperature of a device. [3]"
https://attack.mitre.org//techniques/T0872,['Evasion'],T0872,Indicator Removal on Host,,,
,,,,S0607,KillDisk,"KillDisk deletes application, security, setup, and system event logs from Windows systems. [1]"
,,,,S1009,Triton,Triton would reset the controller to the previous state over TriStation and if this failed it would write a dummy program to memory in what was likely an attempt at anti-forensics. [2]
https://attack.mitre.org//techniques/T0883,['Initial Access'],T0883,Internet Accessible Device,,,
https://attack.mitre.org//techniques/T0867,['Lateral Movement'],T0867,Lateral Tool Transfer,,,
,,,,C0028,2015 Ukraine Electric Power Attack,"During the 2015 Ukraine Electric Power Attack, Sandworm Team moved their tools laterally within the ICS network. [2]"
,,,,C0025,2016 Ukraine Electric Power Attack,"During the 2016 Ukraine Electric Power Attack, Sandworm Team used a VBS script to facilitate lateral tool transfer. The VBS script was used to copy ICS-specific payloads with the following command: cscript C:\Backinfo\ufn.vbs C:\Backinfo\101.dll C:\Delta\101.dll[3]"
,,,,S0606,Bad Rabbit,Bad Rabbit can move laterally through industrial networks by means of the SMB service. [4]
,,,,S1045,INCONTROLLER,INCONTROLLER can use a Telnet session to load a malware implant on Omron PLCs.[5][6]
,,,,S0368,NotPetya,NotPetya can move laterally through industrial networks by means of the SMB service. [4]
,,,,S0603,Stuxnet,Stuxnet sends an SQL statement that creates a table and inserts a binary value into the table. The binary value is a hex string representation of the main Stuxnet DLL as an executable file (formed using resource 210) and an updated configuration data block. [7]
,,,,S0366,WannaCry,WannaCry can move laterally through industrial networks by means of the SMB service. [4]
https://attack.mitre.org//techniques/T0826,['Impact'],T0826,Loss of Availability,,,
,,,,C0028,2015 Ukraine Electric Power Attack,"During the 2015 Ukraine Electric Power Attack, Sandworm Team opened the breakers at the infected sites, shutting the power off for thousands of businesses and households for around 6 hours. [5][6]"
,,,,S0608,Conficker,A Conficker infection at a nuclear power plant forced the facility to temporarily shutdown. [7]
https://attack.mitre.org//techniques/T0837,['Impact'],T0837,Loss of Protection,,,
,,,,S0604,Industroyer,Industroyer contained a module which leveraged a vulnerability in the Siemens SIPROTEC relays (CVE-2015-5374) to create a Denial of Service against automated protective relays. [1]
https://attack.mitre.org//techniques/T0829,['Impact'],T0829,Loss of View,,,
,,,,S0604,Industroyer,"Industroyer's data wiper component removes the registry image path throughout the system and overwrites all files, rendering the system unusable. [4]"
,,,,S0607,KillDisk,"KillDisk erases the master boot record (MBR) and system logs, leaving the system unusable. [5]"
,,,,S0372,LockerGoga,Some of Norsk Hydro's production systems were impacted by a LockerGoga infection. This resulted in a loss of view which forced the company to switch to manual operations. [6] [7]
https://attack.mitre.org//techniques/T0835,['Inhibit Response Function'],T0835,Manipulate I/O Image,,,
,,,,S1006,PLC-Blaster,PLC-Blaster may manipulate any outputs of the PLC. Using the POU POKE any value within the process image may be modified. [3]
,,,,S0603,Stuxnet,"When the peripheral output is written to, sequence C intercepts the output and ensures it is not written to the process image output. The output is the instructions the PLC sends to a device to change its operating behavior. By intercepting the peripheral output, Stuxnet prevents an operator from noticing unauthorized commands sent to the peripheral. [4]"
https://attack.mitre.org//techniques/T0831,['Impact'],T0831,Manipulation of Control,,,
,,,,C0028,2015 Ukraine Electric Power Attack,"During the 2015 Ukraine Electric Power Attack, Sandworm Team opened live breakers via remote commands to the HMI, causing blackouts. [4]"
,,,,S0604,Industroyer,Industroyer toggles breakers to the open state utilizing unauthorized command messages. [5]
,,,,S0603,Stuxnet,"Stuxnet can reprogram a PLC and change critical parameters in such a way that legitimate commands can be overridden or intercepted. In addition, Stuxnet can apply inappropriate command sequences or parameters to cause damage to property. [6]"
https://attack.mitre.org//techniques/T0832,['Impact'],T0832,Manipulation of View,,,
,,,,S0604,Industroyer,Industroyer's OPC module can brute force values and will send out a 0x01 status which for the target systems equates to a Primary Variable Out of Limits misdirecting operators from understanding protective relay status. [4]
,,,,S0603,Stuxnet,Stuxnet manipulates the view of operators replaying process input and manipulating the I/O image to evade detection and inhibit protection functions. [5] [6]
https://attack.mitre.org//techniques/T0849,['Evasion'],T0849,Masquerading,,,
,,,,C0025,2016 Ukraine Electric Power Attack,"During the 2016 Ukraine Electric Power Attack, Sandworm Team transferred executable files as .txt and then renamed them to .exe, likely to avoid detection through extension tracking.[1]"
,,,,S0605,EKANS,EKANS masquerades itself as a valid executable with the filename update.exe. Many valid programs use the process name update.exe to perform background software updates. [2]
,,,,S0496,REvil,REvil searches for whether the Ahnlab autoup.exe service is running on the target system and injects its payload into this existing process. [3]
,,,,S0603,Stuxnet,"Stuxnet renames s7otbxdx.dll, a dll responsible for handling communications with a PLC. It replaces this dll file with its own version that allows it to intercept any calls that are made to access the PLC. [4]"
,,,,S1009,Triton,"Triton's injector, inject.bin, masquerades as a standard compiled PowerPC program for the Tricon. [5]Triton was configured to masquerade as trilog.exe, which is the Triconex software for analyzing SIS logs.[6]"
https://attack.mitre.org//techniques/T0838,['Inhibit Response Function'],T0838,Modify Alarm Settings,,,
,,,,C0020,Maroochy Water Breach,"In the Maroochy Water Breach, the adversary disabled alarms at four pumping stations, preventing notifications to the central computer.[2]"
https://attack.mitre.org//techniques/T0821,['Execution'],T0821,Modify Controller Tasking,,,
,,,,S1006,PLC-Blaster,PLC-Blaster's code is stored in OB9999. The original code on the target is untouched. The OB is automatically detected by the PLC and executed. [2]
,,,,S0603,Stuxnet,"Stuxnet infects OB1 so that its malicious code sequence is executed at the start of a cycle. It also infects OB35. OB35 acts as a watchdog, and on certain conditions, it can stop the execution of OB1. [3]"
,,,,S1009,Triton,Triton's argument-setting and inject.bin shellcode are added to the program table on the Tricon so that they are executed by the firmware once each cycle. [4] [5]
https://attack.mitre.org//techniques/T0836,['Impair Process Control'],T0836,Modify Parameter,,,
,,,,S1045,INCONTROLLER,INCONTROLLER can use the HTTP CGI scripts on Omron PLCs to modify parameters on EtherCat connected servo drives.[1]
,,,,S1072,Industroyer2,Industroyer2 modifies specified Information Object Addresses (IOAs) for specified Application Service Data Unit (ASDU) addresses to either the ON or OFF state.[2][3]
,,,,C0020,Maroochy Water Breach,"In the Maroochy Water Breach, the adversary gained remote computer access to the control system and altered data so that whatever function should have occurred at affected pumping stations did not occur or occurred in a different way. The software program installed in the laptop was one developed for changing configurations in the PDS computers. This ultimately led to 800,000 liters of raw sewage being spilled out into the community.[4]"
,,,,S0603,Stuxnet,"In states 3 and 4 Stuxnet sends two network bursts (done through the DP_SEND primitive). The data in the frames are instructions for the frequency converter drives. For example one of the frames contains records that change the maximum frequency (the speed at which the motor will operate). The frequency converter drives consist of parameters, which can be remotely configured via Profibus. One can write new values to these parameters changing the behavior of the device. [5]"
https://attack.mitre.org//techniques/T0889,['Persistence'],T0889,Modify Program,,,
,,,,S1006,PLC-Blaster,"PLC-Blaster copies itself to various Program Organization Units (POU) on the target device.  The POUs include the Data Block, Function, and Function Block. [2]"
,,,,S0603,Stuxnet,Stuxnet infects PLCs with different code depending on the characteristics of the target system. An infection sequence consists of code blocks and data blocks that will be downloaded to the PLC to alter its behavior. [3]
https://attack.mitre.org//techniques/T0839,"['Persistence', 'Impair Process Control']",T0839,Module Firmware,,,
https://attack.mitre.org//techniques/T0801,['Collection'],T0801,Monitor Process State,,,
,,,,S0604,Industroyer,Industroyer's OPC and IEC 61850 protocol modules include the ability to send stVal requests to read the status of operational variables. [1]
,,,,S1072,Industroyer2,Industroyer2 uses a General Interrogation command to monitor the device’s Information Object Addresses (IOAs) and their IO state values.[2]
,,,,S0603,Stuxnet,Stuxnet examines fields recorded by the DP_RECV monitor to determine if the target system is in a particular state of operation. [3]
https://attack.mitre.org//techniques/T0834,['Execution'],T0834,Native API,,,
,,,,S1006,PLC-Blaster,PLC-Blaster uses the system function blocks TCON and TDISCON to initiate and destroy TCP connections to arbitrary systems. Buffers may be sent and received on these connections with TRCV und TSEND system function blocks. [2]
,,,,S0603,Stuxnet,"Stuxnet calls system function blocks which are part of the operating system running on the PLC. Theyre used to execute system tasks, such as reading the system clock (SFC1) and generating data blocks on the fly. [3]"
,,,,S1009,Triton,"Triton's imain.bin payload takes commands from the TsHi.ExplReadRam(Ex), TsHi.ExplWriteRam(Ex) and TsHi.ExplExec functions to perform operations on controller memory and registers using syscalls written in PowerPC shellcode. [4]"
https://attack.mitre.org//techniques/T0840,['Discovery'],T0840,Network Connection Enumeration,,,
,,,,S0605,EKANS,EKANS performs a DNS lookup of an internal domain name associated with its target network to identify if it was deployed on the intended system. [3]
,,,,S0604,Industroyer,Industroyer contains an IEC 61850 module that enumerates all connected network adapters to determine their TCP/IP subnet masks. [4]
https://attack.mitre.org//techniques/T0857,"['Persistence', 'Inhibit Response Function']",T0857,System Firmware,,,
,,,,C0028,2015 Ukraine Electric Power Attack,"During the 2015 Ukraine Electric Power Attack, Sandworm Team overwrote the serial-to-ethernet gateways with custom firmware to make systems either disabled, shutdown, and/or unrecoverable. [2]"
,,,,S1009,Triton,"Triton is able to read, write and execute code in memory on the safety controller at an arbitrary address within the devices firmware region. This allows the malware to make changes to the running firmware in memory and  modify how the device operates. [3]"
https://attack.mitre.org//techniques/T0842,['Discovery'],T0842,Network Sniffing,,,
,,,,S1045,INCONTROLLER,INCONTROLLER can deploy Tcpdump to sniff network traffic and collect PCAP files.[2]
,,,,S0603,Stuxnet,"DP_RECV is the name of a standard function block used by network coprocessors. It is used to receive network frames on the Profibus  a standard industrial network bus used for distributed I/O. The original block is copied to FC1869, and then replaced by a malicious block. Each time the function is used to receive a packet, the malicious Stuxnet block takes control: it will call the original DP_RECV in FC1869 and then perform postprocessing on the packet data. The replaced DP_RECV block (later on referred to as the DP_RECV monitor) is meant to monitor data sent by the frequency converter drives to the 315-2 CPU via CP 342-5 Profibus communication modules. [3]"
,,,,S1010,VPNFilter,"The VPNFilter packet sniffer looks for basic authentication as well as monitors ICS traffic, and is specific to the TP-LINK R600-VPN. The malware uses a raw socket to look for connections to a pre-specified IP address, only looking at TCP packets that are 150 bytes or larger. Packets that are not on port 502, are scanned for BasicAuth, and that information is logged. This may have allowed credential harvesting from communications between devices accessing a modbus-enabled HMI. [4] [5]"
https://attack.mitre.org//techniques/T0861,['Collection'],T0861,Point & Tag Identification,,,
,,,,S0093,Backdoor.Oldrea,"The Backdoor.Oldrea payload has the capability of enumerating OPC tags, in addition to more generic OPC server information. The server data and tag names can provide information about the names and function of control devices. [2] [3]"
,,,,S1045,INCONTROLLER,INCONTROLLER can remotely read the OCP UA structure from devices.[4]
https://attack.mitre.org//techniques/T0843,['Lateral Movement'],T0843,Program Download,,,
,,,,S1045,INCONTROLLER,INCONTROLLER can use the CODESYS protocol to download programs to Schneider PLCs.[1][2] INCONTROLLER can modified program logic on Omron PLCs using either the program download or backup transfer functions available through the HTTP server.[1]
