Description,URL,Tactic1,Tactic2
"Triton uses TriStations default UDP port, 1502, to communicate with devices. ",https://attack.mitre.org//techniques/T0885,COMMAND_AND_CONTROL,
"During the 2015 Ukraine Electric Power Attack, Sandworm Team established an internal proxy prior to the installation of backdoors within the network. ",https://attack.mitre.org//techniques/T0884,COMMAND_AND_CONTROL,
The INCONTROLLER PLCProxy module can add an IP route to the CODESYS gateway running on Schneider PLCs to allow it to route messages through the PLC to other devices on that network. This allows the malware to bypass firewall rules that prevent it from directly communicating with devices on the same network as the PLC.,https://attack.mitre.org//techniques/T0884,COMMAND_AND_CONTROL,
"Industroyer attempts to connect with a hardcoded internal proxy on TCP 3128 [default Squid proxy]. If established, the backdoor attempts to reach an external C2 server via the internal proxy. ",https://attack.mitre.org//techniques/T0884,COMMAND_AND_CONTROL,
Sandworm Team establishes an internal proxy prior to the installation of backdoors within the network. ,https://attack.mitre.org//techniques/T0884,COMMAND_AND_CONTROL,
"In the Maroochy Water Breach, the adversary gained remote computer access to the control system and altered data so that whatever function should have occurred at affected pumping stations did not occur or occurred in a different way. This ultimately led to 800,000 liters of raw sewage being spilled out into the community. The raw sewage affected local parks, rivers, and even a local hotel. This resulted in harm to marine life and produced a sickening stench from the community's affected rivers.",https://attack.mitre.org//techniques/T0879,IMPACT,
Triton has the capability to reprogram the SIS logic to allow unsafe conditions to persist or reprogram the SIS to allow an unsafe state  while using the DCS to create an unsafe state or hazard. ,https://attack.mitre.org//techniques/T0880,IMPACT,
"During the 2015 Ukraine Electric Power Attack, operators were shut out of their equipment either through the denial of peripheral use or the degradation of equipment. Operators were therefore unable to recover from the incident through their traditional means. Much of the power was restored manually. ",https://attack.mitre.org//techniques/T0827,IMPACT,
"Industroyer's data wiper component removes the registry image path throughout the system and overwrites all files, rendering the system unusable. ",https://attack.mitre.org//techniques/T0827,IMPACT,
Some of Norsk Hydro's production systems were impacted by a LockerGoga infection. This resulted in a loss of control which forced the company to switch to manual operations.  ,https://attack.mitre.org//techniques/T0827,IMPACT,
"During the 2015 Ukraine Electric Power Attack, power breakers were opened which caused the operating companies to be unable to deliver power, and left thousands of businesses and households without power for around 6 hours. ",https://attack.mitre.org//techniques/T0828,IMPACT,
"Several transportation organizations in Ukraine have suffered from being infected by Bad Rabbit, resulting in some computers becoming encrypted, according to media reports. ",https://attack.mitre.org//techniques/T0828,IMPACT,
"A Conficker infection at a nuclear power plant forced the facility to shutdown and go through security procedures involved with such events, with its staff scanning computer systems and going through all the regular checks and motions before putting the plant back into production. ",https://attack.mitre.org//techniques/T0828,IMPACT,
EKANS infection resulted in a temporary production loss within a Honda manufacturing plant. ,https://attack.mitre.org//techniques/T0828,IMPACT,
"While Norsk Hydro attempted to recover from a LockerGoga infection, most of its 160 manufacturing locations switched to manual (non-IT driven) operations. Manual operations can result in a loss of productivity. ",https://attack.mitre.org//techniques/T0828,IMPACT,
"NotPetya disrupted manufacturing facilities supplying vaccines, resulting in a halt of production and the inability to meet demand for specific vaccines. ",https://attack.mitre.org//techniques/T0828,IMPACT,
The REvil malware gained access to an organizations network and encrypted sensitive files used by OT equipment. ,https://attack.mitre.org//techniques/T0828,IMPACT,
An enterprise resource planning (ERP) manufacturing server was lost to the Ryuk attack. The manufacturing process had to rely on paper and existing orders to keep the shop floor open. ,https://attack.mitre.org//techniques/T0828,IMPACT,
INCONTROLLER can wipe the memory of Omron PLCs and reset settings through the remote HTTP service.,https://attack.mitre.org//techniques/T0809,INHIBIT_RESPONSE_FUNCTION,
Industroyer has a destructive wiper that overwrites all ICS configuration files across the hard drives and all mapped network drives specifically targeting ABB PCM600 configuration files. ,https://attack.mitre.org//techniques/T0809,INHIBIT_RESPONSE_FUNCTION,
KillDisk is able to delete system files to make the system unbootable and targets 35 different types of files for deletion. ,https://attack.mitre.org//techniques/T0809,INHIBIT_RESPONSE_FUNCTION,
"Duqu downloads additional modules for the collection of data in information repositories, including the Infostealer 2 module that can access data from Windows Shares.",https://attack.mitre.org//techniques/T0811,COLLECTION,
ACAD/Medre.A collects information related to the AutoCAD application. The worm collects AutoCAD (*.dwg) files with drawings from infected systems. ,https://attack.mitre.org//techniques/T0893,COLLECTION,
"Duqu downloads additional modules for the collection of data from local systems. The modules are named: infostealer 1, infostealer 2 and reconnaissance. ",https://attack.mitre.org//techniques/T0893,COLLECTION,
Flame has built-in modules to gather information from compromised computers. ,https://attack.mitre.org//techniques/T0893,COLLECTION,
"During the 2015 Ukraine Electric Power Attack, KillDisk rendered devices that were necessary for remote recovery unusable, including at least one RTU. Additionally, Sandworm Team overwrote the firmware for serial-to-ethernet converters, denying operators control of the downstream devices. ",https://attack.mitre.org//techniques/T0813,IMPACT,
Industroyer is able to block serial COM channels temporarily causing a denial of control. ,https://attack.mitre.org//techniques/T0813,IMPACT,
"In the Maroochy Water Breach, the adversary temporarily shut an investigator out of the network preventing them from issuing any controls.",https://attack.mitre.org//techniques/T0813,IMPACT,
"During the 2015 Ukraine Electric Power Attack, power company phone line operators were hit with a denial of service attack so that they couldn’t field customers’ calls about outages. Operators were also denied service to their downstream devices when their serial-to-ethernet converters had their firmware overwritten, which bricked the devices. ",https://attack.mitre.org//techniques/T0814,INHIBIT_RESPONSE_FUNCTION,
The Backdoor.Oldrea payload has caused multiple common OPC platforms to intermittently crash. This could cause a denial of service effect on applications reliant on OPC communications. ,https://attack.mitre.org//techniques/T0814,INHIBIT_RESPONSE_FUNCTION,
"The Industroyer SIPROTEC DoS module exploits the CVE-2015-5374 vulnerability in order to render a Siemens SIPROTEC device unresponsive. Once this vulnerability is successfully exploited, the target device stops responding to any commands until it is rebooted manually.  Once the tool is executed it sends specifically crafted packets to port 50,000 of the target IP addresses using UDP. The UDP packet contains the following 18 byte payload: 0x11 49 00 00 00 00 00 00 00 00 00 00 00 00 00 00 28 9E. ",https://attack.mitre.org//techniques/T0814,INHIBIT_RESPONSE_FUNCTION,
The execution on the PLC can be stopped by violating the cycle time limit. The PLC-Blaster implements an endless loop triggering an error condition within the PLC with the impact of a DoS. ,https://attack.mitre.org//techniques/T0814,INHIBIT_RESPONSE_FUNCTION,
Industroyer is able to block serial COM channels temporarily causing a denial of view. ,https://attack.mitre.org//techniques/T0815,IMPACT,
"In the Maroochy Water Breach, the adversary temporarily shut an investigator out of the network, preventing them from viewing the state of the system.",https://attack.mitre.org//techniques/T0815,IMPACT,
Triton contains a file named TS_cnames.py which contains default definitions for program state (TS_progstate). Program state is referenced in TsHi.py.Triton contains a file named TS_cnames.py which contains default definitions for key state (TS_keystate). Key state is referenced in TsHi.py.,https://attack.mitre.org//techniques/T0868,COLLECTION,
"During the 2015 Ukraine Electric Power Attack, Sandworm Team scheduled the uninterruptable power supplies (UPS) to shutdown data and telephone servers via the UPS management interface. ",https://attack.mitre.org//techniques/T0816,INHIBIT_RESPONSE_FUNCTION,
"The Industroyer SIPROTEC DoS module exploits the CVE-2015-5374 vulnerability in order to render a Siemens SIPROTEC device unresponsive. While the vulnerability does not directly cause the restart or shutdown of the device, the device must be restarted manually before it can resume operations. ",https://attack.mitre.org//techniques/T0816,INHIBIT_RESPONSE_FUNCTION,
ALLANITE leverages watering hole attacks to gain access into electric utilities. ,https://attack.mitre.org//techniques/T0817,INITIAL_ACCESS,
"Bad Rabbit ransomware spreads through drive-by attacks where insecure websites are compromised. While the target is visiting a legitimate website, a malware dropper is being downloaded from the threat actors infrastructure. ",https://attack.mitre.org//techniques/T0817,INITIAL_ACCESS,
Dragonfly utilized watering hole attacks on energy sector websites by injecting a redirect iframe to deliver Backdoor.Oldrea or Trojan.Karagany. ,https://attack.mitre.org//techniques/T0817,INITIAL_ACCESS,
OilRig has been seen utilizing watering hole attacks to collect credentials which could be used to gain access into ICS networks. ,https://attack.mitre.org//techniques/T0817,INITIAL_ACCESS,
TEMP.Veles utilizes watering hole websites to target industrial employees. ,https://attack.mitre.org//techniques/T0817,INITIAL_ACCESS,
"Triton leverages a reconstructed TriStation protocol within its framework to trigger APIs related to program download, program allocation, and program changes. ",https://attack.mitre.org//techniques/T0871,EXECUTION,
Sandworm Team actors exploited vulnerabilities in GE's Cimplicity HMI and Advantech/Broadwin WebAccess HMI software which had been directly exposed to the internet.  ,https://attack.mitre.org//techniques/T0819,INITIAL_ACCESS,
"Triton disables a firmware RAM/ROM consistency check after injects a payload (imain.bin) into the firmware memory region.    Triconex systems include continuous means of detection including checksums for firmware and program integrity, memory and memory reference integrity, and configuration. ",https://attack.mitre.org//techniques/T0820,EVASION,
INCONTROLLER has the ability to exploit a vulnerable Asrock driver (AsrDrv103.sys) using CVE-2020-15368 to load its own unsigned driver on the system.,https://attack.mitre.org//techniques/T0890,PRIVILEGE_ESCALATION,
"Triton leverages a previously-unknown vulnerability affecting Tricon MP3008 firmware versions 10.010.4 allows an insecurely-written system call to be exploited to achieve an arbitrary 2-byte write primitive, which is then used to gain supervisor privileges. ",https://attack.mitre.org//techniques/T0890,PRIVILEGE_ESCALATION,
"Bad Rabbit initially infected IT networks, but by means of an exploit (particularly the SMBv1-targeting MS17-010 vulnerability) spread to industrial networks. ",https://attack.mitre.org//techniques/T0866,INITIAL_ACCESS,LATERAL_MOVEMENT
"NotPetya initially infected IT networks, but by means of an exploit (particularly the SMBv1-targeting MS17-010 vulnerability) spread to industrial networks. ",https://attack.mitre.org//techniques/T0866,INITIAL_ACCESS,LATERAL_MOVEMENT
"Stuxnet executes malicious SQL commands in the WinCC database server to propagate to remote systems. The malicious SQL commands include xp_cmdshell, sp_dumpdbilog, and sp_addextendedproc. ",https://attack.mitre.org//techniques/T0866,INITIAL_ACCESS,LATERAL_MOVEMENT
"WannaCry initially infected IT networks, but by means of an exploit (particularly the SMBv1-targeting MS17-010 vulnerability) spread to industrial networks. ",https://attack.mitre.org//techniques/T0866,INITIAL_ACCESS,LATERAL_MOVEMENT
"During the 2015 Ukraine Electric Power Attack, Sandworm Team used Valid Accounts taken from the Windows Domain Controller to access the control system Virtual Private Network (VPN) used by grid operators. ",https://attack.mitre.org//techniques/T0822,INITIAL_ACCESS,
"In the Maroochy Water Breach, the adversary gained remote computer access to the system over radio.",https://attack.mitre.org//techniques/T0822,INITIAL_ACCESS,
"During the 2015 Ukraine Electric Power Attack, Sandworm Team utilized HMI GUIs in the SCADA environment to open breakers. ",https://attack.mitre.org//techniques/T0823,EXECUTION,
"INCONTROLLER can login to Omron PLCs using hardcoded credentials, which is documented in CVE-2022-34151.",https://attack.mitre.org//techniques/T0891,LATERAL_MOVEMENT,PERSISTENCE
Stuxnet uses a hardcoded password in the WinCC software's database server as one of the mechanisms used to propagate to nearby systems. ,https://attack.mitre.org//techniques/T0891,LATERAL_MOVEMENT,PERSISTENCE
Stuxnet modifies the Import Address Tables DLLs to hook specific APIs that are used to open project files. ,https://attack.mitre.org//techniques/T0874,EXECUTION,PRIVILEGE_ESCALATION
"Triton's injector, inject.bin, changes the function pointer of the 'get main processor diagnostic data' TriStation command to the address of imain.bin so that it is executed prior to the normal handler. ",https://attack.mitre.org//techniques/T0874,EXECUTION,PRIVILEGE_ESCALATION
"Stuxnet copies the input area of an I/O image into data blocks with a one second interval between copies, forming a 21 second recording of the input area. The input area contains information being passed to the PLC from a peripheral. For example, the current state of a valve or the temperature of a device. ",https://attack.mitre.org//techniques/T0877,COLLECTION,
"KillDisk deletes application, security, setup, and system event logs from Windows systems. ",https://attack.mitre.org//techniques/T0872,EVASION,
Triton would reset the controller to the previous state over TriStation and if this failed it would write a dummy program to memory in what was likely an attempt at anti-forensics. ,https://attack.mitre.org//techniques/T0872,EVASION,
"During the 2015 Ukraine Electric Power Attack, Sandworm Team moved their tools laterally within the ICS network. ",https://attack.mitre.org//techniques/T0867,LATERAL_MOVEMENT,
"During the 2016 Ukraine Electric Power Attack, Sandworm Team used a VBS script to facilitate lateral tool transfer. The VBS script was used to copy ICS-specific payloads with the following command: cscript C:\Backinfo\ufn.vbs C:\Backinfo\101.dll C:\Delta\101.dll",https://attack.mitre.org//techniques/T0867,LATERAL_MOVEMENT,
Bad Rabbit can move laterally through industrial networks by means of the SMB service. ,https://attack.mitre.org//techniques/T0867,LATERAL_MOVEMENT,
INCONTROLLER can use a Telnet session to load a malware implant on Omron PLCs.,https://attack.mitre.org//techniques/T0867,LATERAL_MOVEMENT,
NotPetya can move laterally through industrial networks by means of the SMB service. ,https://attack.mitre.org//techniques/T0867,LATERAL_MOVEMENT,
Stuxnet sends an SQL statement that creates a table and inserts a binary value into the table. The binary value is a hex string representation of the main Stuxnet DLL as an executable file (formed using resource 210) and an updated configuration data block. ,https://attack.mitre.org//techniques/T0867,LATERAL_MOVEMENT,
WannaCry can move laterally through industrial networks by means of the SMB service. ,https://attack.mitre.org//techniques/T0867,LATERAL_MOVEMENT,
"During the 2015 Ukraine Electric Power Attack, Sandworm Team opened the breakers at the infected sites, shutting the power off for thousands of businesses and households for around 6 hours. ",https://attack.mitre.org//techniques/T0826,IMPACT,
A Conficker infection at a nuclear power plant forced the facility to temporarily shutdown. ,https://attack.mitre.org//techniques/T0826,IMPACT,
Industroyer contained a module which leveraged a vulnerability in the Siemens SIPROTEC relays (CVE-2015-5374) to create a Denial of Service against automated protective relays. ,https://attack.mitre.org//techniques/T0837,IMPACT,
"Industroyer's data wiper component removes the registry image path throughout the system and overwrites all files, rendering the system unusable. ",https://attack.mitre.org//techniques/T0829,IMPACT,
"KillDisk erases the master boot record (MBR) and system logs, leaving the system unusable. ",https://attack.mitre.org//techniques/T0829,IMPACT,
Some of Norsk Hydro's production systems were impacted by a LockerGoga infection. This resulted in a loss of view which forced the company to switch to manual operations.  ,https://attack.mitre.org//techniques/T0829,IMPACT,
PLC-Blaster may manipulate any outputs of the PLC. Using the POU POKE any value within the process image may be modified. ,https://attack.mitre.org//techniques/T0835,INHIBIT_RESPONSE_FUNCTION,
"When the peripheral output is written to, sequence C intercepts the output and ensures it is not written to the process image output. The output is the instructions the PLC sends to a device to change its operating behavior. By intercepting the peripheral output, Stuxnet prevents an operator from noticing unauthorized commands sent to the peripheral. ",https://attack.mitre.org//techniques/T0835,INHIBIT_RESPONSE_FUNCTION,
"During the 2015 Ukraine Electric Power Attack, Sandworm Team opened live breakers via remote commands to the HMI, causing blackouts. ",https://attack.mitre.org//techniques/T0831,IMPACT,
Industroyer toggles breakers to the open state utilizing unauthorized command messages. ,https://attack.mitre.org//techniques/T0831,IMPACT,
"Stuxnet can reprogram a PLC and change critical parameters in such a way that legitimate commands can be overridden or intercepted. In addition, Stuxnet can apply inappropriate command sequences or parameters to cause damage to property. ",https://attack.mitre.org//techniques/T0831,IMPACT,
Industroyer's OPC module can brute force values and will send out a 0x01 status which for the target systems equates to a Primary Variable Out of Limits misdirecting operators from understanding protective relay status. ,https://attack.mitre.org//techniques/T0832,IMPACT,
Stuxnet manipulates the view of operators replaying process input and manipulating the I/O image to evade detection and inhibit protection functions.  ,https://attack.mitre.org//techniques/T0832,IMPACT,
"During the 2016 Ukraine Electric Power Attack, Sandworm Team transferred executable files as .txt and then renamed them to .exe, likely to avoid detection through extension tracking.",https://attack.mitre.org//techniques/T0849,EVASION,
EKANS masquerades itself as a valid executable with the filename update.exe. Many valid programs use the process name update.exe to perform background software updates. ,https://attack.mitre.org//techniques/T0849,EVASION,
REvil searches for whether the Ahnlab autoup.exe service is running on the target system and injects its payload into this existing process. ,https://attack.mitre.org//techniques/T0849,EVASION,
"Stuxnet renames s7otbxdx.dll, a dll responsible for handling communications with a PLC. It replaces this dll file with its own version that allows it to intercept any calls that are made to access the PLC. ",https://attack.mitre.org//techniques/T0849,EVASION,
"Triton's injector, inject.bin, masquerades as a standard compiled PowerPC program for the Tricon. Triton was configured to masquerade as trilog.exe, which is the Triconex software for analyzing SIS logs.",https://attack.mitre.org//techniques/T0849,EVASION,
"In the Maroochy Water Breach, the adversary disabled alarms at four pumping stations, preventing notifications to the central computer.",https://attack.mitre.org//techniques/T0838,INHIBIT_RESPONSE_FUNCTION,
PLC-Blaster's code is stored in OB9999. The original code on the target is untouched. The OB is automatically detected by the PLC and executed. ,https://attack.mitre.org//techniques/T0821,EXECUTION,
"Stuxnet infects OB1 so that its malicious code sequence is executed at the start of a cycle. It also infects OB35. OB35 acts as a watchdog, and on certain conditions, it can stop the execution of OB1. ",https://attack.mitre.org//techniques/T0821,EXECUTION,
Triton's argument-setting and inject.bin shellcode are added to the program table on the Tricon so that they are executed by the firmware once each cycle.  ,https://attack.mitre.org//techniques/T0821,EXECUTION,
INCONTROLLER can use the HTTP CGI scripts on Omron PLCs to modify parameters on EtherCat connected servo drives.,https://attack.mitre.org//techniques/T0836,IMPAIR_PROCESS_CONTROL,
Industroyer2 modifies specified Information Object Addresses (IOAs) for specified Application Service Data Unit (ASDU) addresses to either the ON or OFF state.,https://attack.mitre.org//techniques/T0836,IMPAIR_PROCESS_CONTROL,
"In the Maroochy Water Breach, the adversary gained remote computer access to the control system and altered data so that whatever function should have occurred at affected pumping stations did not occur or occurred in a different way. The software program installed in the laptop was one developed for changing configurations in the PDS computers. This ultimately led to 800,000 liters of raw sewage being spilled out into the community.",https://attack.mitre.org//techniques/T0836,IMPAIR_PROCESS_CONTROL,
"In states 3 and 4 Stuxnet sends two network bursts (done through the DP_SEND primitive). The data in the frames are instructions for the frequency converter drives. For example one of the frames contains records that change the maximum frequency (the speed at which the motor will operate). The frequency converter drives consist of parameters, which can be remotely configured via Profibus. One can write new values to these parameters changing the behavior of the device. ",https://attack.mitre.org//techniques/T0836,IMPAIR_PROCESS_CONTROL,
"PLC-Blaster copies itself to various Program Organization Units (POU) on the target device.  The POUs include the Data Block, Function, and Function Block. ",https://attack.mitre.org//techniques/T0889,PERSISTENCE,
Stuxnet infects PLCs with different code depending on the characteristics of the target system. An infection sequence consists of code blocks and data blocks that will be downloaded to the PLC to alter its behavior. ,https://attack.mitre.org//techniques/T0889,PERSISTENCE,
Industroyer's OPC and IEC 61850 protocol modules include the ability to send stVal requests to read the status of operational variables. ,https://attack.mitre.org//techniques/T0801,COLLECTION,
Industroyer2 uses a General Interrogation command to monitor the device’s Information Object Addresses (IOAs) and their IO state values.,https://attack.mitre.org//techniques/T0801,COLLECTION,
Stuxnet examines fields recorded by the DP_RECV monitor to determine if the target system is in a particular state of operation. ,https://attack.mitre.org//techniques/T0801,COLLECTION,
PLC-Blaster uses the system function blocks TCON and TDISCON to initiate and destroy TCP connections to arbitrary systems. Buffers may be sent and received on these connections with TRCV und TSEND system function blocks. ,https://attack.mitre.org//techniques/T0834,EXECUTION,
"Stuxnet calls system function blocks which are part of the operating system running on the PLC. Theyre used to execute system tasks, such as reading the system clock (SFC1) and generating data blocks on the fly. ",https://attack.mitre.org//techniques/T0834,EXECUTION,
"Triton's imain.bin payload takes commands from the TsHi.ExplReadRam(Ex), TsHi.ExplWriteRam(Ex) and TsHi.ExplExec functions to perform operations on controller memory and registers using syscalls written in PowerPC shellcode. ",https://attack.mitre.org//techniques/T0834,EXECUTION,
EKANS performs a DNS lookup of an internal domain name associated with its target network to identify if it was deployed on the intended system. ,https://attack.mitre.org//techniques/T0840,DISCOVERY,
Industroyer contains an IEC 61850 module that enumerates all connected network adapters to determine their TCP/IP subnet masks. ,https://attack.mitre.org//techniques/T0840,DISCOVERY,
"During the 2015 Ukraine Electric Power Attack, Sandworm Team overwrote the serial-to-ethernet gateways with custom firmware to make systems either disabled, shutdown, and/or unrecoverable. ",https://attack.mitre.org//techniques/T0857,PERSISTENCE,INHIBIT_RESPONSE_FUNCTION
"Triton is able to read, write and execute code in memory on the safety controller at an arbitrary address within the devices firmware region. This allows the malware to make changes to the running firmware in memory and  modify how the device operates. ",https://attack.mitre.org//techniques/T0857,PERSISTENCE,INHIBIT_RESPONSE_FUNCTION
INCONTROLLER can deploy Tcpdump to sniff network traffic and collect PCAP files.,https://attack.mitre.org//techniques/T0842,DISCOVERY,
"DP_RECV is the name of a standard function block used by network coprocessors. It is used to receive network frames on the Profibus  a standard industrial network bus used for distributed I/O. The original block is copied to FC1869, and then replaced by a malicious block. Each time the function is used to receive a packet, the malicious Stuxnet block takes control: it will call the original DP_RECV in FC1869 and then perform postprocessing on the packet data. The replaced DP_RECV block (later on referred to as the DP_RECV monitor) is meant to monitor data sent by the frequency converter drives to the 315-2 CPU via CP 342-5 Profibus communication modules. ",https://attack.mitre.org//techniques/T0842,DISCOVERY,
"The VPNFilter packet sniffer looks for basic authentication as well as monitors ICS traffic, and is specific to the TP-LINK R600-VPN. The malware uses a raw socket to look for connections to a pre-specified IP address, only looking at TCP packets that are 150 bytes or larger. Packets that are not on port 502, are scanned for BasicAuth, and that information is logged. This may have allowed credential harvesting from communications between devices accessing a modbus-enabled HMI.  ",https://attack.mitre.org//techniques/T0842,DISCOVERY,
"The Backdoor.Oldrea payload has the capability of enumerating OPC tags, in addition to more generic OPC server information. The server data and tag names can provide information about the names and function of control devices.  ",https://attack.mitre.org//techniques/T0861,COLLECTION,
INCONTROLLER can remotely read the OCP UA structure from devices.,https://attack.mitre.org//techniques/T0861,COLLECTION,
INCONTROLLER can use the CODESYS protocol to download programs to Schneider PLCs. INCONTROLLER can modified program logic on Omron PLCs using either the program download or backup transfer functions available through the HTTP server.,https://attack.mitre.org//techniques/T0843,LATERAL_MOVEMENT,
PLC-Blaster utilizes the PLC communication and management API to load executable Program Organization Units. ,https://attack.mitre.org//techniques/T0843,LATERAL_MOVEMENT,
Stuxnet's infection sequence consists of code blocks and data blocks that will be downloaded to the PLC to alter its behavior. ,https://attack.mitre.org//techniques/T0843,LATERAL_MOVEMENT,
Triton leveraged the TriStation protocol to download programs onto Triconex Safety Instrumented System. ,https://attack.mitre.org//techniques/T0843,LATERAL_MOVEMENT,
INCONTROLLER  can use the CODESYS protocol to upload programs from Schneider PLCs. INCONTROLLER  can obtain existing program logic from Omron PLCs by using either the program upload or backup functions available through the HTTP server.,https://attack.mitre.org//techniques/T0845,COLLECTION,
Triton calls the SafeAppendProgramMod to transfer its payloads to the Tricon. Part of this call includes preforming a program upload. ,https://attack.mitre.org//techniques/T0845,COLLECTION,
Stuxnet copies itself into Step 7 projects in such a way that it automatically executes when the Step 7 project is loaded. ,https://attack.mitre.org//techniques/T0873,PERSISTENCE,
"During the 2015 Ukraine Electric Power Attack, Sandworm Team used an IT helpdesk software to move the mouse on ICS control devices to maliciously release electricity breakers. ",https://attack.mitre.org//techniques/T0886,INITIAL_ACCESS,LATERAL_MOVEMENT
"During the 2016 Ukraine Electric Power Attack, Sandworm Team used MS-SQL access to a pivot machine, allowing code execution throughout the ICS network.",https://attack.mitre.org//techniques/T0886,INITIAL_ACCESS,LATERAL_MOVEMENT
"INCONTROLLER can use the CODESYS protocol to remotely connect to Schneider PLCs and perform maintenance functions on the device.INCONTROLLER can use Telnet to upload payloads and execute commands on Omron PLCs.    The malware can also use HTTP-based CGI scripts (e.g., cpu.fcgi, ecat.fcgi) to gain administrative access to the device.",https://attack.mitre.org//techniques/T0886,INITIAL_ACCESS,LATERAL_MOVEMENT
REvil uses the SMB protocol to encrypt files located on remotely connected file shares. ,https://attack.mitre.org//techniques/T0886,INITIAL_ACCESS,LATERAL_MOVEMENT
